Water quality control area,Source,Monitoring station,Date,Sample number,Depth,Five-day biochemical oxygen demand (mg/L),Chlorophyll-a (µg/L),Dissolved oxygen saturation percentage (percentage),Dissolved oxygen (mg/L),Escherichia coli (colony count/100 ml),Fecal coliforms (colony count/100 ml),Nitrate nitrogen (mg/L),Nitrite nitrogen (mg/L),pH value,Magnesium-depleted pigment (µg/L),Salinity (psu),Transparency (meters),Silicon (silicon dioxide) (mg/L),Suspended solids (mg/L),Temperature (Celsius),Inorganic nitrogen (mg/L),Kjeldahl nitrogen (mg/L),Total nitrogen (mg/L),Total phosphorus (mg/L),Turbidity (NTU),Non-ionized ammonia nitrogen (mg/L),Total volatile solids (mg/L),Ammonia nitrogen (mg/L),Orthophosphate (mg/L)
Houhai Bay,Bay,DM1,2016-01-11,1,surface layer,2.8,20,68,5.6,8100,11000,0.66,0.31,7.8,6.4,18.6,1.5,3,25,19.4,2.57,3.1,4.07,0.33,15.1,0.03,4.7,3.5,0.4
Houhai Bay,Bay,DM1,2016-01-12,1,surface layer,6,1.7,41,3.6,360000,560000,1.1,0.67,7,2,20.6,1,8.7,15,15.3,4.37,5.2,6.97,0.44,11.9,0.006,6.6,6.7,0.72
Houhai Bay,Bay,DM1,2016-01-13,1,surface layer,3.5,9.9,52,4.7,6800,8400,1.4,0.32,7.2,3.9,16,1,7.8,26,15.8,3.12,2.5,4.22,0.26,20,0.006,4.8,4.5,0.51
Houhai Bay,Bay,DM1,2016-01-14,1,surface layer,5,2,24,2,210000,250000,0.34,0.1,7,5.1,5,1.2,11,66,22.5,4.04,4.8,5.24,0.34,36,0.017,9.1,5.4,0.58
Houhai Bay,Bay,DM1,2016-01-15,1,surface layer,1.3,1.1,48,3.6,1600,4800,0.63,0.17,6.9,2.9,7.6,1.5,10,23,27.4,2.1,2.1,2.9,0.33,16.7,0.007,3.8,3.3,0.49
Houhai Bay,Bay,DM1,2016-01-16,1,surface layer,6.1,3.6,47,3.4,6100,12000,0.38,0.76,7.1,5.8,4,1.2,14,150,31.4,3.04,4.2,5.34,0.47,64.8,0.021,17,4.5,0.32
Houhai Bay,Bay,DM1,2016-01-17,1,surface layer,11,3.7,24,1.9,550000,1100000,0.045,0.35,6.6,9.1,0.2,1,14,86,28,2.8,6.2,6.6,0.79,108.2,0.007,13,1.6,0.19
Houhai Bay,Bay,DM1,2016-01-18,1,surface layer,1.6,4.8,76,5.9,8600,17000,0.47,0.26,7,4.7,4.8,1.5,8,29,27.5,2.53,3.1,3.83,0.29,25.3,0.012,3.7,2.6,0.27
Houhai Bay,Bay,DM1,2016-01-19,1,surface layer,1.9,4.1,83,5.8,530,1100,0.57,0.25,7.1,3.4,15.3,1.4,8.4,25,29.6,1.55,1.4,2.22,0.43,28.5,0.007,3.4,2.8,0.3
Houhai Bay,Bay,DM1,2016-01-20,1,surface layer,5,16,94,7,58000,95000,1.1,0.58,6.8,5.5,6.6,1.7,21,21,29.3,4.48,5.1,6.78,0.47,17.8,0.014,5.4,4.2,0.46
Houhai Bay,Bay,DM1,2016-01-21,1,surface layer,4.3,3.7,91,7,1800,2300,1,0.47,7,6.2,14.9,1.7,8.4,95,24.7,3.07,2.1,3.57,0.37,68.3,0.009,12,4.6,0.47
Houhai Bay,Bay,DM1,2016-01-22,1,surface layer,2.7,3.7,48,3.9,3500,7800,1.3,0.42,7.3,2.4,15.9,1,10,29,21,3.52,3,4.72,0.29,21.9,0.017,4.1,4.7,0.49
Houhai Bay,Bay,DM2,2016-01-23,1,surface layer,3.2,21,85,7,2800,3800,0.72,0.28,8,7,20.3,1.5,1.9,19,19.5,1.77,1.7,2.7,0.26,11.8,0.026,5.4,2.1,0.26
